Datetime,Open,High,Low,Last,Volume,Dividends,Stock splits
6/3/2022 10:25,190.25,190.25,189.3294,189.635,738103,0,0
6/3/2022 10:30,189.63,189.71,188.66,189.28,728191,0,0
6/3/2022 10:35,189.29,189.52,187.7501,188.1153,957433,0,0
6/3/2022 10:40,188.13,189,187.85,188.98,681866,0,0
6/3/2022 10:45,189,189.95,188.56,189.47,686680,0,0
6/3/2022 10:50,189.4472,189.502,188.5239,188.69,502596,0,0
6/3/2022 10:55,188.695,188.9479,187.6943,187.7299,570745,0,0
6/3/2022 11:00,187.75,187.7699,186.57,187.0851,1017795,0,0
6/3/2022 11:05,187.08,187.21,186.41,186.43,628260,0,0
6/3/2022 11:10,186.43,186.44,185.2156,185.49,985938,0,0
6/3/2022 11:15,185.48,186.42,185.38,186.17,802012,0,0
6/3/2022 11:20,186.14,186.6499,186.01,186.18,595510,0,0
6/3/2022 11:25,186.1703,186.48,185.92,186.3798,496822,0,0
6/3/2022 11:30,186.4,187.68,186.25,187.43,649398,0,0
6/3/2022 11:35,187.46,187.85,187.15,187.3399,601330,0,0
6/3/2022 11:40,187.3,187.47,186.855,187.19,378063,0,0
6/3/2022 11:45,187.16,187.49,186.81,187.24,341251,0,0
6/3/2022 11:50,187.17,187.56,186.83,187.0754,306562,0,0
6/3/2022 11:55,187.08,187.61,186.97,187.28,343518,0,0
6/3/2022 12:00,187.26,188.395,187.21,188.02,515941,0,0
6/3/2022 12:05,188.0399,188.2138,186.98,187.2,375715,0,0
6/3/2022 12:10,187.22,187.4949,186.98,187.1401,377910,0,0
6/3/2022 12:15,187.18,187.78,186.8,186.82,444478,0,0
6/3/2022 12:20,186.85,188.73,186.68,188.405,519310,0,0
6/3/2022 12:25,188.41,188.48,187.83,188.46,404813,0,0
6/3/2022 12:30,188.45,188.68,187.93,188.02,363865,0,0
6/3/2022 12:35,187.985,188.733,187.87,188.61,338247,0,0
6/3/2022 12:40,188.57,188.7537,188.23,188.5101,300322,0,0
6/3/2022 12:45,188.53,189.0325,188.3322,188.88,329845,0,0
6/3/2022 12:50,188.88,188.89,188.17,188.809,513845,0,0
6/3/2022 12:55,188.83,189.38,188.74,189.31,486439,0,0
6/3/2022 13:00,189.32,189.99,189.175,189.72,607590,0,0
6/3/2022 13:05,189.75,189.97,189.37,189.83,527247,0,0
6/3/2022 13:10,189.85,189.95,189.0279,189.1799,377966,0,0
6/3/2022 13:15,189.18,189.18,188.04,188.23,517079,0,0
6/3/2022 13:20,188.2,188.65,188.14,188.6338,344842,0,0
6/3/2022 13:25,188.64,188.78,188.12,188.4739,425816,0,0
6/3/2022 13:30,188.4,188.425,187.565,187.83,452248,0,0
6/3/2022 13:35,187.8672,188.31,187.61,187.9888,344330,0,0
6/3/2022 13:40,187.98,188.03,187.1112,187.45,321531,0,0
6/3/2022 13:45,187.48,187.57,187.25,187.5,231986,0,0
6/3/2022 13:50,187.52,187.5599,187.15,187.27,247565,0,0
6/3/2022 13:55,187.2718,187.53,187.12,187.1987,300642,0,0
6/3/2022 14:00,187.21,187.77,186.8,187.53,482914,0,0
6/3/2022 14:05,187.5,187.95,187.29,187.715,353052,0,0
6/3/2022 14:10,187.71,187.91,187.51,187.84,271168,0,0
6/3/2022 14:15,187.845,188.1389,187.4402,188.06,324685,0,0
6/3/2022 14:20,188.07,188.0932,187.66,187.95,346124,0,0
6/3/2022 14:25,187.9711,188.78,187.89,188.7305,405686,0,0
6/3/2022 14:30,188.72,188.741,188.0401,188.2,407054,0,0
6/3/2022 14:35,188.22,188.275,187.35,187.59,416520,0,0
6/3/2022 14:40,187.5971,187.91,187.42,187.9008,309212,0,0
6/3/2022 14:45,187.89,188.12,187.66,188.07,309065,0,0
6/3/2022 14:50,188.07,188.25,187.77,187.965,310326,0,0
6/3/2022 14:55,187.98,188.35,187.86,188.06,350655,0,0
6/3/2022 15:00,188.07,188.31,187.4843,188.0101,516340,0,0
6/3/2022 15:05,188.015,188.035,187.02,187.15,481170,0,0
6/3/2022 15:10,187.13,187.4299,186.7,186.7029,441925,0,0
